platform,has_profile_pic,bio_length,username_randomness,followers,following,follower_following_ratio,account_age_days,posts,posts_per_day,caption_similarity_score,content_similarity_score,follow_unfollow_rate,spam_comments_rate,generic_comment_rate,suspicious_links_in_bio,verified,is_fake
Twitter,1,180,1,431,679,0.633823529,941,194,0.205944798,0.699443713,0.243579454,456,44,63,1,1,1
Instagram,1,214,0,426,729,0.583561644,3164,202,0.063823065,0.538004785,0.121999896,98,196,79,0,0,1
Twitter,1,87,0,426,721,0.590027701,903,225,0.248893805,0.858449712,0.835423973,136,171,139,0,1,1
Twitter,0,72,0,385,679,0.566176471,3433,175,0.050960978,0.176470627,0.916446436,186,46,72,1,1,1
Instagram,0,162,1,392,709,0.552112676,1269,207,0.162992126,0.265956646,0.214861942,35,184,138,1,0,1
Instagram,0,178,0,389,712,0.545582048,24,198,7.92,0.941076111,0.721380549,117,146,7,1,0,1
Twitter,1,211,0,378,678,0.556701031,4653,186,0.039965621,0.444045248,0.590919463,157,161,59,0,1,1
Facebook,1,36,0,420,719,0.583333333,2749,241,0.087636364,0.789050943,0.239196453,478,130,131,1,1,1
Twitter,1,233,1,424,728,0.581618656,2451,200,0.081566069,0.492167649,0.823657689,274,38,91,0,0,1
Twitter,1,208,0,398,683,0.581871345,1397,202,0.144492132,0.471085657,0.470437415,168,91,117,1,0,1
Twitter,1,238,1,408,664,0.613533835,3358,183,0.0544805,0.148116288,0.700333874,54,74,125,1,0,1
Twitter,1,222,1,366,729,0.501369863,3905,193,0.049411162,0.851199611,0.30142283,470,187,118,0,1,1
Instagram,1,118,0,414,683,0.605263158,2489,203,0.081526104,0.078355281,0.8157816,83,137,82,1,0,1
Twitter,0,56,1,397,753,0.526525199,3667,211,0.057524537,0.310261095,0.264285959,5,167,84,1,0,1
Facebook,1,7,1,406,708,0.572637518,1758,194,0.110289937,0.673468072,0.364787243,378,1,103,1,0,1
Instagram,0,206,0,407,702,0.578947368,4978,189,0.03795943,0.507257551,0.391469192,362,44,113,0,1,1
Facebook,0,94,1,361,726,0.49656121,1879,185,0.098404255,0.881378327,0.206426839,343,154,14,1,0,1
Facebook,1,116,0,383,729,0.524657534,2533,183,0.072217837,0.039297953,0.874369422,494,52,50,0,0,1
Facebook,1,221,1,357,728,0.489711934,3515,208,0.059158134,0.649407519,0.11348784,255,136,49,0,0,1
Facebook,0,109,1,403,695,0.579022989,3774,195,0.051655629,0.477465471,0.563129065,405,102,110,1,0,1
Instagram,0,19,0,352,705,0.498583569,2079,202,0.097115385,0.154311823,0.814150849,197,128,54,1,1,1
Instagram,1,123,0,392,730,0.53625171,4662,175,0.037529487,0.743251907,0.580904943,499,160,11,1,0,1
Facebook,1,230,1,386,702,0.549075391,2058,175,0.084992715,0.411306855,0.326896495,151,37,132,1,1,1
Facebook,0,52,1,409,649,0.629230769,678,224,0.329896907,0.531581904,0.78135506,317,56,78,1,0,1
Instagram,1,118,0,379,707,0.535310734,4947,195,0.039409863,0.967266066,0.499177389,169,160,89,1,0,1
Instagram,1,11,1,373,697,0.534383954,2975,219,0.07358871,0.486230081,0.16301285,247,175,8,0,0,1
Instagram,1,176,1,346,693,0.498559078,285,210,0.734265734,0.823372866,0.316863275,248,2,103,1,0,1
Twitter,0,16,1,434,724,0.59862069,2201,207,0.09400545,0.769577523,0.591939818,149,31,103,1,0,1
Twitter,0,63,1,427,681,0.626099707,4467,199,0.044538944,0.662754592,0.658776513,209,148,140,0,0,1
Twitter,0,41,0,438,730,0.599179207,1841,186,0.100977199,0.896812143,0.548132091,399,67,43,1,1,1
Facebook,1,93,0,422,678,0.621502209,1879,198,0.105319149,0.251601647,0.272009436,227,144,96,0,1,1
Twitter,1,156,0,426,711,0.598314607,1611,195,0.120967742,0.820771231,0.59375264,243,169,97,0,1,1
Facebook,0,146,0,391,677,0.576696165,3963,211,0.053229062,0.377787488,0.332451533,140,67,118,0,1,1
Facebook,0,237,0,385,739,0.52027027,4237,180,0.042472865,0.81249089,0.224921075,119,83,67,1,1,1
Twitter,0,10,0,371,694,0.53381295,3160,224,0.070863651,0.493788685,0.945528659,292,11,52,0,0,1
Facebook,1,97,1,387,722,0.53526971,3499,201,0.057428571,0.857709253,0.314873403,179,44,108,1,0,1
Twitter,0,177,0,394,701,0.561253561,2132,194,0.090951711,0.894843538,0.335620455,407,163,0,0,0,1
